Freq (Hz), Test Phi (deg), Test Theta (deg), Probe Phi (deg), S11 (db), S11 (deg), S12 (db), S12 (deg), S21 (db), S21 (deg), S22 (db), S22 (deg)
5.847200000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.211914000000000158e+00,1.193242000000000047e+02,-1.756542999999999921e+01,-1.259960999999999984e+02,-1.739257999999999882e+01,-1.326406000000000063e+02,-7.912842000000000375e+00,1.696093999999999937e+02
5.859500000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.597167999999999921e+00,8.600000000000000000e+01,-1.790917999999999921e+01,1.638203000000000031e+02,-1.747850999999999999e+01,1.580859000000000094e+02,-8.733397999999999328e+00,5.683984000000000236e+01
5.871800000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.774901999999999980e+00,5.148631999999999920e+01,-1.835448999999999842e+01,9.349608999999999526e+01,-1.780273000000000039e+01,8.836329000000000633e+01,-7.277099999999999902e+00,-4.989061999999999841e+01
5.884100000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.752441000000000138e+00,1.205713000000000079e+01,-1.920214999999999961e+01,2.470605000000000118e+01,-1.830664000000000158e+01,2.105469000000000079e+01,-6.939453000000000316e+00,-1.410312000000000126e+02
5.896400000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.861083999999999961e+00,-3.229296999999999684e+01,-1.947266000000000119e+01,-4.015820999999999685e+01,-1.831835999999999842e+01,-4.605078000000000316e+01,-7.480957000000000079e+00,1.309687000000000126e+02
5.908700000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-6.061035000000000394e+00,-7.623828000000000316e+01,-1.941113000000000000e+01,-1.106367000000000047e+02,-1.852344000000000079e+01,-1.181210999999999984e+02,-7.310546999999999684e+00,2.888379000000000119e+01
5.921000000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-6.064696999999999782e+00,-1.167108999999999952e+02,-2.062012000000000000e+01,1.792343999999999937e+02,-1.986035000000000039e+01,1.721953000000000031e+02,-7.183349999999999902e+00,-7.236718000000000472e+01
5.933300000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.821289000000000158e+00,-1.530859000000000094e+02,-2.134570000000000078e+01,1.182108999999999952e+02,-2.069530999999999921e+01,1.120897999999999968e+02,-7.027587999999999724e+00,-1.581718999999999937e+02
5.945600000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.395019999999999705e+00,1.727500000000000000e+02,-2.065721999999999881e+01,5.291015999999999764e+01,-2.009471999999999881e+01,4.868945000000000078e+01,-6.789794999999999803e+00,1.124608999999999952e+02
5.957900000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-4.977294999999999803e+00,1.377500000000000000e+02,-2.088379000000000119e+01,-2.002733999999999881e+01,-1.991210999999999842e+01,-2.191504000000000119e+01,-7.552978999999999665e+00,7.651855000000000295e+00
5.970200000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-4.902099999999999902e+00,1.013436999999999983e+02,-2.151073999999999842e+01,-8.619531999999999528e+01,-2.028222999999999843e+01,-8.975780000000000314e+01,-7.890625000000000000e+00,-9.139063000000000159e+01
5.982500000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.382080000000000197e+00,6.276953000000000316e+01,-2.121483999999999881e+01,-1.540389999999999873e+02,-2.012695000000000078e+01,-1.578125000000000000e+02,-6.889892999999999823e+00,1.736875000000000000e+02
5.994800000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-6.088378999999999763e+00,2.373144999999999882e+01,-2.183691999999999922e+01,1.330546999999999969e+02,-2.051856000000000080e+01,1.303046999999999969e+02,-7.064208999999999961e+00,7.386328000000000316e+01
6.007100000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-6.507812999999999626e+00,-1.623535000000000039e+01,-2.282226999999999961e+01,6.802733999999999526e+01,-2.131934000000000040e+01,6.455468000000000472e+01,-7.906982000000000177e+00,-2.164649000000000001e+01
6.019400000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-6.377196999999999782e+00,-5.714844000000000079e+01,-2.252832000000000079e+01,1.344421000000000088e+00,-2.115332000000000079e+01,-2.315430000000000099e+00,-7.448485999999999940e+00,-1.212656000000000063e+02
6.031700000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.947265999999999941e+00,-9.770701999999999998e+01,-2.324316999999999922e+01,-7.170703000000000316e+01,-2.149804999999999922e+01,-7.526561999999999841e+01,-6.945556999999999981e+00,1.322421999999999969e+02
6.044000000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.552978999999999665e+00,-1.372968999999999937e+02,-2.463085999999999842e+01,-1.348593999999999937e+02,-2.295801000000000158e+01,-1.418906000000000063e+02,-6.895996000000000237e+00,4.273046000000000078e+01
6.056300000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.432860999999999940e+00,-1.733671999999999969e+02,-2.443065999999999960e+01,1.652343999999999937e+02,-2.341405999999999921e+01,1.584687000000000126e+02,-6.494385000000000296e+00,-3.681250000000000000e+01
